sep=,
Time [ms],O2 [counts]
104479.930,211
114521.900,202
124563.870,204
134603.800,204
144639.630,204
154675.450,207
164711.280,203
174747.110,208
184782.940,207
194818.770,203
204854.590,207
214890.420,206
224926.250,207
234962.080,204
244997.910,207
255033.730,207
265093.970,206
275208.470,202
285322.970,204
295437.470,201
305551.970,207
315666.470,196
325783.030,198
335897.530,197
346012.030,196
356126.530,195
366241.030,195
376355.530,196
386470.030,197
396586.590,199
406701.090,197
416815.590,193
426930.090,196
437044.590,196
447159.090,194
457273.590,196
467390.160,197
477504.660,193
487619.160,196
497733.660,203
507848.160,201
517962.660,207
528079.190,206
538193.690,205
548310.250,205
558426.810,202
568543.380,204
578657.880,203
588774.440,205
598891.000,207
