sep=,
Time [ms],O2 [counts]
17841.951,183
27893.502,184
37938.070,182
47980.039,181
58019.961,179
68061.930,182
78103.898,182
88145.867,181
98189.883,182
108231.850,181
118273.820,183
128315.790,183
138353.670,177
148389.500,175
158425.330,183
168461.160,181
178496.980,181
188532.810,181
198568.640,183
208604.470,180
218640.300,182
228676.130,180
