sep=,
Time [ms],O2 [counts]
173592.670,176
183628.500,175
193664.330,174
203700.160,174
213735.980,175
223771.810,174
233807.640,175
243843.470,174
253879.300,175
263928.660,174
274043.160,175
284157.660,175
294274.220,175
304388.720,173
314503.220,175
324617.720,177
334732.220,178
344846.720,178
354961.220,179
365077.780,178
375192.280,177
385306.780,177
395421.280,176
405535.780,176
415650.280,176
425764.780,176
435881.340,177
445995.840,177
456110.340,175
466224.840,175
476339.340,177
